Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,Not Graduate,Yes,3668,1685,1.22,360,1,Rural,0
Male,Yes,Graduate,No,6969,0,1.96,300,1,Urban,0
Male,Yes,Not Graduate,No,3810,183,1.04,300,0,Rural,0
Female,Yes,Not Graduate,Yes,2785,4009,1.18,360,1,Rural,0
Male,Yes,Not Graduate,No,2788,0,1.02,300,0,Rural,0
Female,Yes,Not Graduate,Yes,1563,2597,1.09,180,0,Rural,0
Male,Yes,Graduate,Yes,5269,0,1.29,300,1,Semiurban,0
Female,No,Graduate,Yes,2685,856,1.08,360,0,Semiurban,0
Female,Yes,Not Graduate,Yes,4357,2466,1.31,300,0,Rural,0
Male,No,Graduate,No,1955,2381,0.56,180,0,Semiurban,0
Female,No,Graduate,No,2075,1224,0.63,180,1,Semiurban,0
Female,No,Graduate,Yes,4105,1199,0.88,300,0,Semiurban,0
Female,No,Graduate,Yes,2138,1023,1.07,180,1,Semiurban,1
Male,Yes,Graduate,No,5632,1248,1.63,360,0,Urban,1
Male,Yes,Not Graduate,No,1492,0,1.2,180,1,Rural,1
Male,Yes,Not Graduate,No,5129,0,1.51,300,1,Rural,0
Male,Yes,Graduate,Yes,4678,0,1.08,360,1,Semiurban,0
Male,Yes,Graduate,No,4210,739,1.65,300,1,Urban,1
Female,No,Graduate,No,1115,1112,0.82,180,1,Urban,0
Male,Yes,Graduate,No,5788,576,1.89,180,0,Urban,1
Female,No,Graduate,No,3332,2160,0.79,300,0,Urban,0
Male,Yes,Graduate,Yes,7734,0,1.64,180,0,Semiurban,0
Female,No,Graduate,No,2408,2192,1.08,360,1,Semiurban,0
Male,Yes,Not Graduate,No,3642,0,1.29,300,0,Rural,0
Male,Yes,Not Graduate,No,4897,557,1.41,180,0,Rural,0
Male,Yes,Graduate,Yes,5293,1034,1.66,300,1,Semiurban,1
Male,No,Graduate,No,2419,2375,0.69,300,0,Semiurban,1
Male,Yes,Not Graduate,No,3459,1385,1.08,360,0,Rural,1
Male,Yes,Graduate,No,5055,1711,1.3,180,0,Urban,0
Male,Yes,Graduate,No,6835,524,1.17,180,0,Urban,1
Male,Yes,Graduate,No,5109,0,1.5,300,1,Urban,0
Female,No,Graduate,No,1733,1804,1.41,360,0,Urban,0
Female,No,Graduate,Yes,2865,369,0.99,360,1,Semiurban,0
Male,Yes,Not Graduate,No,3591,0,0.9,180,1,Rural,0
Female,No,Graduate,No,2279,2018,1.21,360,1,Urban,1
Male,Yes,Graduate,Yes,4658,1348,1.61,300,1,Semiurban,0
Male,Yes,Not Graduate,No,2847,0,1.31,180,0,Rural,0
Male,Yes,Not Graduate,No,1426,370,1.17,360,1,Rural,1
Male,Yes,Graduate,Yes,7009,2029,1.42,360,0,Semiurban,0
Female,No,Graduate,No,1544,1851,0.98,360,0,Urban,0
Female,No,Graduate,No,2732,193,0.5,180,1,Semiurban,1
Male,Yes,Graduate,No,5529,959,1.68,300,0,Urban,0
Female,Yes,Not Graduate,Yes,2548,2569,0.96,300,0,Rural,0
Female,No,Graduate,No,2176,1142,1.03,180,0,Urban,1
Male,No,Graduate,No,3227,2454,0.88,300,1,Semiurban,1
Female,No,Graduate,No,3937,1337,0.97,180,1,Urban,0
Male,Yes,Not Graduate,No,5565,0,1.21,300,1,Rural,1
Male,Yes,Graduate,Yes,5867,1018,1.15,180,1,Semiurban,0
Male,Yes,Graduate,No,6268,147,1.72,180,1,Urban,1
Female,No,Graduate,Yes,5300,1658,0.95,300,0,Semiurban,0
Male,Yes,Graduate,No,5384,189,1.39,300,1,Urban,1
Male,Yes,Not Graduate,No,2891,92,1.09,300,1,Rural,1
Male,Yes,Graduate,No,4729,0,1.33,300,1,Urban,0
Male,Yes,Graduate,No,3639,15,1.46,360,1,Urban,1
Male,Yes,Not Graduate,No,3459,0,1.53,300,1,Rural,1
Male,Yes,Not Graduate,No,2901,1364,0.88,180,0,Rural,0
Female,No,Graduate,No,1722,1312,1.23,180,0,Urban,1
Male,Yes,Not Graduate,No,2117,0,1.23,300,1,Rural,0
Female,No,Graduate,No,2575,790,1.25,180,0,Semiurban,0
Female,No,Graduate,No,1000,2047,0.86,360,0,Semiurban,1
Male,Yes,Not Graduate,No,3818,956,1.26,180,1,Rural,0
Male,Yes,Not Graduate,No,3648,492,1.4,180,1,Rural,1
Female,No,Graduate,No,1140,2012,0.79,180,0,Semiurban,1
Male,Yes,Graduate,No,5172,696,1.3,300,1,Urban,1
Male,Yes,Not Graduate,No,5516,1717,1.21,300,1,Rural,0
Female,No,Graduate,No,2611,1318,1.09,360,0,Semiurban,0
Female,No,Graduate,No,2689,1972,1.06,300,0,Semiurban,0
Male,Yes,Graduate,Yes,5057,1089,1.41,180,0,Semiurban,1
Female,Yes,Not Graduate,Yes,4235,2139,1.43,180,0,Rural,1
Male,Yes,Graduate,Yes,4396,276,1.65,180,0,Semiurban,1
Male,No,Graduate,No,3573,1708,0.61,360,0,Semiurban,1
Male,No,Graduate,No,2323,1739,0.72,300,0,Semiurban,1
Male,Yes,Not Graduate,No,1928,882,1.51,180,1,Rural,0
Female,No,Graduate,Yes,2583,2170,0.76,180,1,Semiurban,1
Male,Yes,Not Graduate,No,3604,977,1.03,360,1,Rural,1
Male,Yes,Graduate,No,5148,0,2.0,360,0,Urban,0
Male,Yes,Graduate,Yes,6000,0,1.49,300,0,Semiurban,0
Male,Yes,Not Graduate,No,3871,0,1.35,300,1,Rural,1
Male,Yes,Graduate,No,5518,309,1.67,360,0,Urban,0
Female,No,Graduate,No,1000,2101,0.99,360,1,Semiurban,1
Male,Yes,Not Graduate,No,3175,395,0.94,300,1,Rural,1
Male,No,Graduate,No,1000,3045,0.57,300,0,Semiurban,1
Male,No,Graduate,No,3400,2902,0.5,300,1,Semiurban,0
Female,No,Graduate,No,2194,1209,0.79,180,0,Urban,1
Male,No,Graduate,No,2480,1258,0.97,300,0,Semiurban,1
Male,Yes,Not Graduate,No,2867,0,1.23,180,0,Rural,0
Female,No,Graduate,Yes,4335,1179,1.37,300,1,Semiurban,1
Female,No,Graduate,No,1648,1630,1.12,180,1,Semiurban,0
Female,No,Graduate,Yes,2939,1670,0.9,180,0,Semiurban,1
Female,No,Graduate,No,1581,1354,1.09,360,0,Semiurban,0
Female,No,Graduate,No,1000,1222,1.36,180,0,Urban,0
Female,No,Graduate,No,3035,48,1.01,180,0,Semiurban,0
Male,Yes,Not Graduate,No,2548,137,1.56,300,1,Rural,0
Female,No,Graduate,Yes,2960,463,1.07,180,0,Semiurban,1
Female,No,Graduate,No,4052,2071,1.02,180,1,Semiurban,0
Male,No,Graduate,No,2600,1698,0.66,180,0,Semiurban,0
Female,No,Graduate,No,1628,672,0.98,180,0,Urban,1
Male,Yes,Graduate,Yes,7358,109,1.64,300,0,Semiurban,0
Male,No,Graduate,No,1575,2645,0.69,180,1,Semiurban,1
Male,Yes,Graduate,Yes,3719,1049,1.56,360,0,Semiurban,0
Male,Yes,Not Graduate,No,3481,0,1.15,360,1,Rural,0
Female,No,Graduate,No,1479,2213,0.6,360,1,Semiurban,1
Female,No,Graduate,No,3431,1527,1.14,360,1,Urban,1
Male,No,Graduate,No,1509,1782,0.79,300,0,Semiurban,1
Male,Yes,Not Graduate,No,5192,2033,1.55,300,1,Rural,1
Female,Yes,Not Graduate,Yes,3511,2176,1.06,300,0,Rural,0
Female,No,Graduate,No,1858,2142,0.82,300,0,Semiurban,1
Male,Yes,Not Graduate,No,3717,163,0.99,180,1,Rural,1
Female,No,Graduate,Yes,2912,731,1.18,180,0,Semiurban,1
Male,Yes,Not Graduate,No,1505,928,1.32,300,0,Rural,0
Male,Yes,Graduate,No,4801,0,1.51,300,0,Urban,0
Female,No,Graduate,Yes,2105,2103,0.54,360,1,Semiurban,1
Male,No,Graduate,No,1952,316,0.74,300,0,Semiurban,0
Male,Yes,Graduate,No,5548,0,1.68,360,0,Urban,1
Female,No,Graduate,No,3632,353,0.82,360,0,Urban,1
Female,Yes,Not Graduate,Yes,1452,1362,1.22,300,0,Rural,0
Male,Yes,Graduate,No,5797,0,1.32,300,0,Urban,0
Female,No,Graduate,Yes,1436,2415,1.07,180,0,Semiurban,0
Male,No,Graduate,No,3043,2150,0.72,180,1,Semiurban,1
Female,No,Graduate,No,1119,1869,0.7,360,0,Semiurban,0
Male,Yes,Not Graduate,No,4337,1082,1.57,180,1,Rural,1
Male,No,Graduate,No,2252,1338,0.63,180,1,Semiurban,0
Female,No,Graduate,No,1455,1704,0.69,300,0,Semiurban,1
Female,No,Graduate,Yes,3060,1419,1.45,360,0,Semiurban,1
Male,No,Graduate,No,1597,2542,0.71,180,1,Semiurban,0
Female,No,Graduate,No,1376,476,0.76,300,1,Urban,0
Male,Yes,Graduate,No,6466,0,1.58,360,1,Urban,0
Male,Yes,Graduate,No,3682,925,1.66,300,0,Urban,0
Female,Yes,Not Graduate,Yes,2833,2434,0.96,180,1,Rural,1
Female,No,Graduate,No,2285,2226,1.14,360,0,Urban,1
Male,Yes,Graduate,No,6995,63,1.46,180,1,Urban,0
Female,No,Graduate,Yes,3045,1636,0.94,180,1,Semiurban,0
Male,Yes,Not Graduate,No,5024,1007,1.21,360,0,Rural,1
Male,Yes,Graduate,No,4183,412,1.81,180,0,Urban,0
Male,Yes,Not Graduate,No,3523,0,1.44,360,1,Rural,0
Male,Yes,Not Graduate,No,3423,167,1.13,360,0,Rural,1
Male,Yes,Graduate,No,4112,1024,1.72,300,1,Urban,0
Male,Yes,Graduate,No,6622,0,1.74,360,0,Urban,1
Male,No,Graduate,No,2224,3007,0.69,300,0,Semiurban,1
Female,Yes,Not Graduate,Yes,4202,2610,1.18,360,1,Rural,0
Male,Yes,Not Graduate,No,3366,0,1.53,360,0,Rural,0
Male,Yes,Not Graduate,No,2540,0,0.91,180,1,Rural,1
Female,No,Graduate,Yes,2168,339,0.72,300,0,Semiurban,0
Male,Yes,Graduate,No,4724,0,1.33,180,1,Urban,0
Female,No,Graduate,No,2366,1925,0.9,180,1,Semiurban,0
Female,No,Graduate,Yes,2460,1049,0.96,300,1,Semiurban,1
Female,No,Graduate,Yes,1206,552,1.23,180,1,Semiurban,1
Male,Yes,Graduate,No,5342,357,1.33,300,0,Urban,0
Male,Yes,Not Graduate,No,4019,0,1.15,300,1,Rural,1
Male,Yes,Graduate,Yes,5813,0,1.33,360,1,Semiurban,0
Female,No,Graduate,No,1719,2525,0.92,180,0,Semiurban,1
Male,Yes,Not Graduate,No,4776,0,1.8,360,1,Rural,1
Male,Yes,Not Graduate,No,2305,0,0.72,180,0,Rural,1
Female,No,Graduate,No,3203,434,1.07,300,1,Semiurban,1
Female,Yes,Not Graduate,Yes,2945,2767,1.24,300,1,Rural,0
Female,No,Graduate,Yes,2572,1857,1.22,180,1,Semiurban,0
Male,Yes,Not Graduate,No,3706,41,0.71,360,1,Rural,0
Female,No,Graduate,Yes,4124,1611,0.82,360,1,Semiurban,0
Female,No,Graduate,Yes,3068,2801,0.94,180,1,Semiurban,1
Male,Yes,Not Graduate,No,2305,0,1.17,300,0,Rural,1
Female,No,Graduate,No,1000,1481,1.02,300,0,Semiurban,1
Male,Yes,Graduate,No,5391,997,1.74,360,1,Urban,1
Male,No,Graduate,No,1348,1154,0.68,180,1,Semiurban,0
Male,Yes,Graduate,No,3852,0,1.37,180,1,Urban,0
Male,Yes,Not Graduate,No,5212,387,0.96,360,1,Rural,0
Female,No,Graduate,No,2912,1713,1.0,360,1,Urban,1
Female,No,Graduate,No,1447,1447,1.09,180,1,Urban,1
Male,Yes,Graduate,Yes,5071,0,1.41,180,1,Semiurban,0
Male,No,Graduate,No,1503,2067,1.12,300,1,Semiurban,1
Female,No,Graduate,Yes,3758,639,1.34,300,1,Semiurban,0
Male,Yes,Not Graduate,No,4888,0,0.8,360,0,Rural,0
Male,Yes,Graduate,Yes,4440,0,1.49,300,0,Semiurban,0
Male,Yes,Not Graduate,No,3428,462,1.44,180,1,Rural,1
Male,No,Graduate,No,3430,2380,0.5,300,0,Semiurban,1
Male,Yes,Not Graduate,No,2811,163,1.41,360,1,Rural,1
Male,Yes,Not Graduate,No,5653,1716,1.18,360,1,Rural,0
Male,Yes,Graduate,No,4784,2023,1.88,360,1,Urban,1
Female,No,Graduate,Yes,3642,1269,1.24,360,0,Semiurban,0
Female,No,Graduate,Yes,4644,570,0.73,300,0,Semiurban,0
Female,Yes,Not Graduate,Yes,1664,3047,1.03,180,1,Rural,1
Female,No,Graduate,No,1332,2523,0.75,180,0,Urban,1
Female,No,Graduate,No,1772,1029,1.19,180,1,Urban,1
Male,Yes,Graduate,No,5809,471,1.23,300,0,Urban,1
Male,Yes,Graduate,Yes,3898,248,1.5,180,0,Semiurban,1
Male,Yes,Not Graduate,No,4025,160,1.11,360,1,Rural,1
Male,Yes,Graduate,Yes,5708,0,1.56,360,0,Semiurban,1
Female,No,Graduate,No,2828,1519,1.25,180,0,Semiurban,0
Female,Yes,Not Graduate,Yes,1341,1418,1.15,360,0,Rural,1
Male,Yes,Not Graduate,No,2671,1824,0.99,360,1,Rural,1
Female,No,Graduate,No,1229,154,0.89,180,0,Semiurban,0
Female,Yes,Not Graduate,Yes,2775,3502,1.28,360,0,Rural,1
Male,Yes,Graduate,Yes,5243,2076,1.5,180,0,Semiurban,0
Male,Yes,Graduate,No,6383,323,1.51,360,0,Urban,1
Female,No,Graduate,No,1115,1173,1.03,360,0,Urban,0
Male,Yes,Graduate,No,4029,218,1.57,360,1,Urban,1
Female,No,Graduate,No,1000,1619,0.66,180,0,Semiurban,0
Female,No,Graduate,No,1064,0,0.92,360,0,Semiurban,0
Male,Yes,Not Graduate,No,5449,443,1.17,300,1,Rural,0
Female,No,Graduate,Yes,5515,1266,1.2,300,0,Semiurban,1
Male,Yes,Not Graduate,No,4570,779,1.47,360,0,Rural,0
Male,Yes,Not Graduate,No,3273,267,1.13,300,0,Rural,0
Male,Yes,Not Graduate,No,2812,0,1.24,180,0,Rural,1
Female,No,Graduate,Yes,2247,2882,1.2,300,1,Semiurban,1
Male,Yes,Not Graduate,No,4177,143,1.11,300,1,Rural,1
Male,Yes,Graduate,Yes,4095,126,1.64,360,1,Semiurban,0
Female,No,Graduate,No,1000,0,0.64,300,1,Urban,1
Male,Yes,Graduate,No,6446,713,1.94,360,0,Urban,0
Male,No,Graduate,No,1108,1489,1.09,300,1,Semiurban,0
Male,Yes,Not Graduate,No,4070,0,1.11,360,1,Rural,0
Female,No,Graduate,No,2327,1817,0.97,300,0,Semiurban,1
Male,Yes,Not Graduate,No,3775,0,1.29,360,1,Rural,1
Male,Yes,Not Graduate,No,3889,287,1.19,360,0,Rural,0
Male,No,Graduate,No,2887,3594,0.52,180,1,Semiurban,0
Female,No,Graduate,Yes,4949,573,1.21,300,1,Semiurban,1
Male,No,Graduate,No,1002,494,0.5,180,0,Semiurban,1
Male,Yes,Graduate,Yes,5798,127,1.25,180,0,Semiurban,0
Male,Yes,Not Graduate,No,2807,75,1.13,180,1,Rural,0
Female,No,Graduate,Yes,2265,2036,1.33,360,0,Semiurban,1
Male,Yes,Not Graduate,No,3060,0,0.91,180,1,Rural,1
Female,No,Graduate,No,1000,0,1.06,180,0,Semiurban,0
Male,Yes,Graduate,No,5862,0,1.49,360,1,Urban,0
Female,Yes,Not Graduate,Yes,1000,2039,1.22,300,0,Rural,0
Male,No,Graduate,No,3790,2110,0.61,180,0,Semiurban,1
Female,No,Graduate,No,2231,2867,0.89,360,1,Semiurban,1
Female,No,Graduate,No,1781,1675,1.21,360,1,Urban,1
Male,Yes,Graduate,No,4753,0,1.39,300,1,Urban,0
Male,Yes,Graduate,No,5260,0,1.64,180,0,Urban,1
Male,No,Graduate,No,2765,2104,0.5,300,1,Semiurban,0
Female,No,Graduate,Yes,3528,1743,1.14,300,1,Semiurban,0
Male,Yes,Not Graduate,No,3892,328,1.34,180,0,Rural,1
Male,Yes,Graduate,No,4480,305,1.26,300,0,Urban,0
Male,Yes,Graduate,Yes,3715,0,1.61,360,0,Semiurban,1
Female,No,Graduate,Yes,3115,2080,0.92,300,0,Semiurban,0
Male,No,Graduate,No,2436,1978,0.74,360,0,Semiurban,1
Male,Yes,Not Graduate,No,3048,597,1.25,300,0,Rural,1
Male,Yes,Not Graduate,No,4228,69,1.46,360,1,Rural,1
Male,Yes,Graduate,No,5210,0,1.46,360,1,Urban,1
Male,Yes,Not Graduate,No,3613,0,1.32,180,0,Rural,1
Male,No,Graduate,No,3435,2400,0.8,300,1,Semiurban,1
Male,Yes,Not Graduate,No,2959,172,1.26,180,0,Rural,0
Female,Yes,Not Graduate,Yes,3771,2191,0.92,360,0,Rural,0
Female,Yes,Not Graduate,Yes,1785,2172,0.82,180,0,Rural,0
Male,Yes,Not Graduate,No,3060,0,1.03,360,0,Rural,0
Female,No,Graduate,No,1000,1243,0.9,180,0,Semiurban,1
Male,Yes,Graduate,Yes,3721,0,1.36,360,1,Semiurban,1
Female,No,Graduate,No,1708,1257,0.99,300,0,Semiurban,0
Male,Yes,Not Graduate,No,6194,1397,1.1,180,0,Rural,0
Male,Yes,Graduate,No,5721,0,1.24,180,1,Urban,0
Female,No,Graduate,No,2812,1282,0.65,180,1,Semiurban,0
Male,Yes,Graduate,Yes,5190,1047,1.75,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,1461,1761,0.78,360,0,Rural,1
Male,Yes,Graduate,No,6998,1609,1.5,300,0,Urban,1
Male,Yes,Graduate,Yes,4174,0,1.74,300,0,Semiurban,1
Male,No,Graduate,No,2190,3146,0.81,300,1,Semiurban,0
Male,Yes,Graduate,No,5896,1014,1.7,180,1,Urban,0
Male,Yes,Graduate,No,4849,755,1.49,360,0,Urban,0
Male,Yes,Graduate,Yes,8167,0,1.48,180,0,Semiurban,0
Female,Yes,Not Graduate,Yes,3281,2807,1.05,300,0,Rural,0
Male,Yes,Not Graduate,No,2752,1166,1.21,300,1,Rural,0
Female,No,Graduate,No,1745,1401,0.81,360,0,Urban,1
Male,Yes,Graduate,No,4354,1579,1.79,300,0,Urban,1
Female,No,Graduate,No,2856,1447,0.82,180,1,Urban,0
Male,Yes,Graduate,No,6637,0,1.11,360,1,Urban,1
Female,No,Graduate,Yes,2327,816,0.88,180,0,Semiurban,0
Female,No,Graduate,Yes,3450,3356,0.88,180,1,Semiurban,0
Male,Yes,Not Graduate,No,4345,0,1.26,300,1,Rural,1
Male,Yes,Graduate,Yes,4956,781,1.27,180,0,Semiurban,0
Male,No,Graduate,No,2649,2993,0.75,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,3020,3112,0.89,300,1,Rural,1
Female,No,Graduate,Yes,2164,1775,0.84,360,1,Semiurban,1
Female,Yes,Not Graduate,Yes,1000,2432,1.05,360,0,Rural,1
Male,Yes,Not Graduate,No,2707,383,0.93,360,0,Rural,0
Male,No,Graduate,No,1408,3344,0.52,180,0,Semiurban,0
Male,Yes,Graduate,No,3056,401,1.57,300,1,Urban,0
Male,Yes,Not Graduate,No,2056,222,1.29,360,0,Rural,1
Male,Yes,Graduate,Yes,5342,0,1.27,300,0,Semiurban,1
Male,Yes,Not Graduate,No,4460,0,0.86,180,1,Rural,0
Female,No,Graduate,No,1829,1973,1.27,180,1,Urban,1
Male,Yes,Graduate,No,6232,0,1.59,300,0,Urban,1
Male,Yes,Not Graduate,No,3667,0,1.53,360,1,Rural,1
Male,Yes,Not Graduate,No,4908,187,0.97,180,1,Rural,0
Male,Yes,Graduate,No,5557,0,1.22,360,0,Urban,0
Female,No,Graduate,No,1512,2308,0.86,180,1,Urban,1
Male,Yes,Not Graduate,No,3906,0,1.46,300,1,Rural,0
Male,No,Graduate,No,3245,2924,0.5,360,1,Semiurban,1
Female,No,Graduate,No,1640,1615,1.1,180,0,Urban,1
Male,Yes,Graduate,No,5979,841,1.46,300,1,Urban,1
Male,Yes,Graduate,No,5392,59,1.7,360,1,Urban,0
Male,Yes,Graduate,No,5292,536,1.62,360,1,Urban,0
Male,Yes,Graduate,No,5685,0,1.77,180,1,Urban,1
Male,Yes,Not Graduate,No,3982,0,1.16,180,1,Rural,0
Female,No,Graduate,No,1393,1582,1.13,300,1,Semiurban,1
Male,Yes,Not Graduate,No,4071,0,1.03,360,1,Rural,0
Female,Yes,Not Graduate,Yes,2702,2343,1.12,360,1,Rural,0
Female,Yes,Not Graduate,Yes,3667,2697,0.54,180,0,Rural,0
Male,Yes,Not Graduate,No,3670,641,0.98,300,0,Rural,0
Female,No,Graduate,Yes,1921,514,0.98,180,0,Semiurban,0
Male,Yes,Graduate,Yes,4335,0,1.49,180,1,Semiurban,0
Male,No,Graduate,No,1214,953,0.5,300,0,Semiurban,1
Male,Yes,Graduate,Yes,5135,0,1.66,180,1,Semiurban,0
Male,Yes,Not Graduate,No,3283,0,1.02,360,1,Rural,1
Male,Yes,Graduate,No,5017,0,1.96,300,0,Urban,0
Female,No,Graduate,No,1000,708,0.82,360,0,Urban,0
Male,Yes,Graduate,No,5007,34,1.58,300,1,Urban,1
Male,Yes,Not Graduate,No,3772,588,1.23,300,1,Rural,0
Male,Yes,Graduate,No,3388,532,1.63,300,0,Urban,1
Male,Yes,Graduate,No,5336,889,1.44,360,0,Urban,1
Male,Yes,Graduate,No,6304,0,1.2,300,1,Urban,1
Female,No,Graduate,Yes,1314,1915,0.76,180,1,Semiurban,1
Male,Yes,Not Graduate,No,4007,2535,1.1,180,0,Rural,0
Female,No,Graduate,Yes,1691,2385,0.97,300,1,Semiurban,0
Male,Yes,Not Graduate,No,3255,0,1.31,360,1,Rural,1
Male,Yes,Graduate,No,5322,0,1.54,360,1,Urban,0
Male,Yes,Not Graduate,No,3697,0,1.29,360,0,Rural,0
Male,No,Graduate,No,3195,2390,0.87,180,0,Semiurban,0
Male,Yes,Not Graduate,No,2618,1453,1.12,180,0,Rural,0
Male,Yes,Graduate,No,4860,325,1.32,300,0,Urban,1
Female,Yes,Not Graduate,Yes,3623,3421,1.19,360,1,Rural,0
Male,Yes,Not Graduate,No,1800,0,1.25,300,0,Rural,1
Female,Yes,Not Graduate,Yes,3094,2015,1.11,300,0,Rural,0
Male,Yes,Graduate,Yes,6048,215,1.71,180,1,Semiurban,1
Male,Yes,Graduate,No,6055,530,1.72,300,0,Urban,0
Male,Yes,Not Graduate,No,4507,0,1.46,300,1,Rural,0
Male,Yes,Graduate,No,4919,0,1.5,300,1,Urban,0
Male,No,Graduate,No,1905,2021,0.5,300,1,Semiurban,0
Male,Yes,Graduate,No,7163,0,1.35,180,1,Urban,1
Male,No,Graduate,No,1000,241,0.51,180,0,Semiurban,1
Male,Yes,Graduate,Yes,4479,915,1.39,300,1,Semiurban,1
Male,Yes,Graduate,No,5471,0,1.34,300,1,Urban,0
Male,Yes,Not Graduate,No,5774,27,1.19,300,0,Rural,1
Male,Yes,Graduate,No,5035,1090,1.72,300,1,Urban,0
Female,No,Graduate,No,2912,258,0.92,180,0,Urban,1
Female,No,Graduate,Yes,3817,1681,0.73,360,1,Semiurban,1
Female,No,Graduate,No,2947,367,0.7,300,1,Semiurban,1
Male,Yes,Not Graduate,No,3443,0,1.44,360,0,Rural,0
Female,Yes,Not Graduate,Yes,3005,2980,1.4,180,1,Rural,0
Female,No,Graduate,No,1895,2042,0.5,300,0,Urban,1
Male,Yes,Graduate,No,5317,195,1.43,180,0,Urban,0
Male,Yes,Graduate,Yes,3811,651,1.52,300,0,Semiurban,0
Female,Yes,Not Graduate,Yes,1021,3271,1.13,180,1,Rural,1
Female,No,Graduate,No,2261,2254,1.11,180,0,Semiurban,0
Male,No,Graduate,No,1135,815,0.99,360,1,Semiurban,0
Male,Yes,Graduate,No,5567,0,1.78,180,0,Urban,1
Male,Yes,Graduate,No,4821,0,1.6,300,0,Urban,0
Male,Yes,Not Graduate,No,4307,0,1.42,180,1,Rural,0
Male,Yes,Not Graduate,No,4631,0,1.25,180,0,Rural,0
Male,No,Graduate,No,4679,2698,0.5,180,1,Semiurban,0
Male,Yes,Graduate,Yes,6554,0,1.43,300,0,Semiurban,1
Female,No,Graduate,Yes,2296,3533,1.27,180,1,Semiurban,1
Male,Yes,Graduate,No,5697,0,1.31,180,0,Urban,1
Male,Yes,Graduate,No,6422,222,1.19,300,1,Urban,0
Male,Yes,Not Graduate,No,5575,1539,1.02,180,1,Rural,0
Male,No,Graduate,No,2312,1527,0.88,180,1,Semiurban,0
Female,No,Graduate,No,2333,3646,1.0,360,0,Semiurban,0
Female,No,Graduate,Yes,2994,2029,0.84,180,0,Semiurban,1
Female,No,Graduate,No,2113,200,0.72,360,0,Urban,0
Female,No,Graduate,No,1573,926,0.88,180,1,Urban,0
Male,Yes,Graduate,No,6757,0,1.28,300,0,Urban,1
Male,Yes,Not Graduate,No,2554,1419,1.36,300,0,Rural,1
Female,No,Graduate,Yes,5056,1136,1.32,180,0,Semiurban,1
Female,No,Graduate,No,3584,3459,0.73,300,0,Semiurban,0
Male,Yes,Not Graduate,No,5306,0,1.47,180,0,Rural,1
Female,No,Graduate,No,1679,2191,0.79,180,1,Urban,0
Male,Yes,Graduate,No,7995,0,1.76,300,1,Urban,0
Male,Yes,Graduate,No,3855,326,1.85,360,0,Urban,0
Male,Yes,Not Graduate,No,3876,0,1.46,300,1,Rural,1
Female,No,Graduate,No,1769,693,0.72,360,1,Semiurban,0
Male,Yes,Graduate,No,4662,286,1.35,360,0,Urban,1
Male,No,Graduate,No,3274,1840,0.73,300,0,Semiurban,1
Male,Yes,Graduate,No,6879,176,1.43,180,1,Urban,1
Female,No,Graduate,No,2639,1219,1.12,180,1,Urban,1
Female,No,Graduate,No,1867,1834,0.66,360,0,Semiurban,1
Female,Yes,Not Graduate,Yes,5129,3723,1.48,300,1,Rural,1
Female,Yes,Not Graduate,Yes,3252,3256,0.84,300,1,Rural,1
Female,No,Graduate,Yes,2989,783,0.91,300,0,Semiurban,0
Female,No,Graduate,No,2761,418,0.99,180,0,Semiurban,0
Female,No,Graduate,No,2254,1425,1.07,300,1,Urban,1
Male,Yes,Not Graduate,No,1936,0,1.06,360,1,Rural,0
Male,No,Graduate,No,2111,646,0.57,300,1,Semiurban,1
Male,No,Graduate,No,2614,1517,0.51,300,0,Semiurban,1
Male,Yes,Graduate,No,5785,0,1.62,300,1,Urban,0
Male,No,Graduate,No,2143,1602,0.69,360,0,Semiurban,0
Male,Yes,Graduate,Yes,6742,0,1.43,180,1,Semiurban,1
Male,Yes,Graduate,Yes,5026,145,1.42,300,1,Semiurban,1
Male,Yes,Graduate,No,3840,0,1.3,360,1,Urban,0
Male,Yes,Graduate,Yes,5842,81,1.21,300,1,Semiurban,1
Female,No,Graduate,No,2941,2379,1.25,300,1,Semiurban,1
Male,No,Graduate,No,4559,1283,0.82,180,1,Semiurban,0
Male,Yes,Graduate,Yes,6253,0,1.21,360,0,Semiurban,1
Male,Yes,Graduate,Yes,6446,0,1.57,300,0,Semiurban,0
Female,No,Graduate,No,1673,1360,0.87,180,1,Urban,0
Male,Yes,Graduate,No,6095,0,1.56,180,0,Urban,1
Male,Yes,Not Graduate,No,1883,0,1.28,300,0,Rural,1
Female,No,Graduate,No,1478,802,1.18,360,1,Urban,0
Female,No,Graduate,No,4608,715,0.92,180,0,Urban,0
Male,Yes,Graduate,No,5684,1677,1.49,300,1,Urban,1
Male,No,Graduate,No,1564,321,0.94,360,1,Semiurban,1
Female,No,Graduate,No,3253,250,1.13,360,1,Semiurban,1
Male,No,Graduate,No,1590,3374,0.82,180,0,Semiurban,0
Male,No,Graduate,No,2527,1440,0.66,300,1,Semiurban,0
Male,Yes,Not Graduate,No,3295,16,1.41,180,1,Rural,0
Male,No,Graduate,No,2085,1041,0.5,180,1,Semiurban,0
